# USDT/VES Historical Rate Dataset
# Source: usdt.com.ve
# License: CC-BY-4.0 (https://creativecommons.org/licenses/by/4.0/)
# Generated: 2026-08-28T17:01:23.683Z
# Citation: usdt.com.ve, "USDT/VES Historical Rate Dataset", retrieved 2026-08-28, https://www.usdt.com.ve/datos
# Columns: captured_at (ISO 8601 UTC), source (binance|bybit|bcv), buy_rate (Bs. per USD/USDT), sell_rate (Bs., null for BCV)
captured_at,source,buy_rate,sell_rate
2026-01-17T20:15:30.889647+00:00,bybit,454.4995,450.5005
2026-01-17T20:15:30.889647+00:00,binance,451.66,453
2026-01-17T20:20:31.125652+00:00,bybit,455,450.001
2026-01-17T20:20:31.125652+00:00,binance,451.99,453
2026-01-17T20:20:31.125652+00:00,bcv,344.51,
2026-01-17T20:25:31.014347+00:00,binance,451.7995,453
2026-01-17T20:25:31.014347+00:00,bybit,454,451
2026-01-17T20:25:31.014347+00:00,bcv,344.51,
2026-01-17T20:30:31.032928+00:00,bcv,344.51,
2026-01-17T20:30:31.032928+00:00,bybit,453.8495,451
2026-01-17T20:30:31.032928+00:00,binance,451.63,452.4
2026-01-17T20:35:31.191087+00:00,bybit,453.5405,450.55
2026-01-17T20:35:31.191087+00:00,binance,451,452.4
2026-01-17T20:35:31.191087+00:00,bcv,344.51,
2026-01-17T20:40:31.109225+00:00,binance,451.25,453
2026-01-17T20:40:31.109225+00:00,bcv,344.51,
2026-01-17T20:40:31.109225+00:00,bybit,453.15,450
2026-01-17T20:45:31.074758+00:00,binance,451.815,452.215
2026-01-17T20:45:31.074758+00:00,bcv,344.51,
2026-01-17T20:45:31.074758+00:00,bybit,453.1905,450
2026-01-17T20:50:31.772164+00:00,binance,451,452.115
2026-01-17T20:50:31.772164+00:00,bcv,344.51,
2026-01-17T20:50:31.772164+00:00,bybit,453,448
2026-01-17T20:55:31.13336+00:00,bcv,344.51,
2026-01-17T20:55:31.13336+00:00,binance,451.8,451.75
2026-01-17T20:55:31.13336+00:00,bybit,453,447.675
2026-01-17T21:00:31.178456+00:00,bcv,344.51,
2026-01-17T21:00:31.178456+00:00,bybit,452.995,448
2026-01-17T21:00:31.178456+00:00,binance,451.6,451.55
2026-01-17T21:05:30.909032+00:00,bybit,452.9895,448
2026-01-17T21:05:30.909032+00:00,binance,451,451.6
2026-01-17T21:05:30.909032+00:00,bcv,344.51,
2026-01-17T21:10:31.526766+00:00,binance,451.8195,451.0005
2026-01-17T21:10:31.526766+00:00,bcv,344.51,
2026-01-17T21:10:31.526766+00:00,bybit,452.995,447.75
2026-01-17T21:15:31.225351+00:00,binance,451.5995,451.0005
2026-01-17T21:15:31.225351+00:00,bcv,344.51,
2026-01-17T21:15:31.225351+00:00,bybit,452.9895,446.75
2026-01-17T21:20:31.235643+00:00,bcv,344.51,
2026-01-17T21:20:31.235643+00:00,bybit,452.7445,447.05
2026-01-17T21:20:31.235643+00:00,binance,451.3495,451.0005
2026-01-17T21:25:31.491229+00:00,binance,451.0505,451.15
2026-01-17T21:25:31.491229+00:00,bcv,344.51,
2026-01-17T21:25:31.491229+00:00,bybit,452.4945,447.1615
2026-01-17T21:30:30.991192+00:00,binance,451.0005,451.2
2026-01-17T21:30:30.991192+00:00,bybit,452.4945,447.05
2026-01-17T21:30:30.991192+00:00,bcv,344.51,
2026-01-17T21:35:30.84151+00:00,bcv,344.51,
2026-01-17T21:35:30.84151+00:00,bybit,452.4945,446.705
